order_id,customer_id,product,quantity,price,order_date,name,sales,stock_quantity,rating,region
1001,38,Phone,3,1093.2,2025-01-01,Charlie,3279.6000000000004,46,1,North
1002,44,Phone,3,1499.94,2025-01-02,Alice,4499.82,39,3,West
1003,13,Monitor,1,414.27,2025-01-03,Diana,414.27,49,5,East
1004,9,Laptop,2,1405.41,2025-01-04,Diana,2810.82,38,5,South
1005,10,Laptop,4,910.94,2025-01-05,Charlie,3643.76,64,2,South
1006,12,Keyboard,1,1484.26,2025-01-06,Alice,1484.26,39,2,East
1007,6,Tablet,1,1537.04,2025-01-07,Alice,1537.04,65,2,West
1008,16,Keyboard,1,855.46,2025-01-08,Alice,855.46,37,2,East
1009,1,Monitor,2,1857.88,2025-01-09,Alice,3715.76,70,5,West
1010,17,Monitor,3,486.67,2025-01-10,Charlie,1460.01,22,4,South
1011,2,Laptop,4,115.21,2025-01-11,Ethan,460.84,27,5,North
1012,13,Monitor,2,1860.07,2025-01-12,Alice,3720.14,81,2,North
1013,8,Keyboard,1,659.57,2025-01-13,Ethan,659.57,17,2,West
1014,46,Monitor,1,417.21,2025-01-14,Bob,417.21,93,2,North
1015,7,Keyboard,4,145.79,2025-01-15,Charlie,583.16,66,3,West
1016,26,Keyboard,1,958.8,2025-01-16,Bob,958.8,61,5,South
1017,21,Keyboard,2,1635.84,2025-01-17,Charlie,3271.68,42,4,West
1018,38,Phone,3,799.92,2025-01-18,Ethan,2399.7599999999998,86,3,South
1019,19,Laptop,1,1257.49,2025-01-19,Bob,1257.49,72,4,East
1020,21,Keyboard,1,166.21,2025-01-20,Diana,166.21,61,4,East
1021,12,Tablet,4,773.7,2025-01-21,Bob,3094.8,40,3,South
1022,43,Laptop,3,249.19,2025-01-22,Bob,747.5699999999999,32,4,West
1023,29,Tablet,4,1417.05,2025-01-23,Charlie,5668.2,15,1,South
1024,30,Keyboard,3,124.15,2025-01-24,Ethan,372.45000000000005,32,3,South
1025,15,Phone,4,973.14,2025-01-25,Bob,3892.56,86,1,North
1026,5,Phone,4,1926.5,2025-01-26,Alice,7706.0,32,2,North
1027,24,Laptop,4,734.95,2025-01-27,Charlie,2939.8,28,1,East
1028,24,Tablet,3,996.96,2025-01-28,Bob,2990.88,39,1,South
1029,42,Keyboard,4,300.24,2025-01-29,Charlie,1200.96,28,4,East
1030,50,Keyboard,3,1055.84,2025-01-30,Alice,3167.5199999999995,62,5,East
1031,31,Laptop,4,1782.81,2025-01-31,Alice,7131.24,41,1,East
1032,33,Keyboard,4,1115.32,2025-02-01,Diana,4461.28,59,1,South
1033,23,Phone,2,634.81,2025-02-02,Ethan,1269.62,93,1,East
1034,14,Keyboard,4,773.71,2025-02-03,Bob,3094.84,55,1,West
1035,42,Phone,3,1802.93,2025-02-04,Alice,5408.79,61,2,West
1036,10,Laptop,1,558.83,2025-02-05,Ethan,558.83,96,1,North
1037,8,Tablet,4,145.38,2025-02-06,Alice,581.52,25,2,South
1038,23,Monitor,3,1934.88,2025-02-07,Diana,5804.64,81,4,West
1039,2,Phone,1,916.94,2025-02-08,Charlie,916.94,58,4,South
1040,1,Tablet,1,757.95,2025-02-09,Ethan,757.95,38,5,South
1041,18,Keyboard,1,1196.43,2025-02-10,Diana,1196.43,93,1,South
1042,9,Keyboard,4,340.4,2025-02-11,Charlie,1361.6,37,2,North
1043,25,Tablet,4,1905.08,2025-02-12,Ethan,7620.32,53,1,South
1044,14,Tablet,1,695.86,2025-02-13,Charlie,695.86,29,4,West
1045,48,Laptop,4,1910.38,2025-02-14,Ethan,7641.52,89,3,West
1046,43,Phone,2,514.95,2025-02-15,Alice,1029.9,80,2,West
1047,9,Tablet,3,572.53,2025-02-16,Alice,1717.59,98,2,North
1048,31,Tablet,3,1741.22,2025-02-17,Ethan,5223.66,96,1,West
1049,8,Laptop,4,547.01,2025-02-18,Charlie,2188.04,21,1,North
1050,4,Phone,4,1648.69,2025-02-19,Charlie,6594.76,75,2,North
1051,7,Tablet,2,1133.4,2025-02-20,Ethan,2266.8,25,2,North
1052,22,Keyboard,4,463.39,2025-02-21,Charlie,1853.56,61,4,East
1053,50,Laptop,4,1218.8,2025-02-22,Diana,4875.2,96,4,South
1054,4,Phone,2,191.46,2025-02-23,Alice,382.92,55,4,East
1055,5,Tablet,4,130.16,2025-02-24,Alice,520.64,73,5,North
1056,25,Phone,1,194.45,2025-02-25,Ethan,194.45,52,3,East
1057,50,Keyboard,3,858.89,2025-02-26,Diana,2576.67,32,4,North
1058,44,Tablet,3,1196.12,2025-02-27,Ethan,3588.3599999999997,92,1,North
1059,13,Laptop,3,1748.28,2025-02-28,Diana,5244.84,50,3,East
1060,27,Laptop,1,1593.71,2025-03-01,Diana,1593.71,54,3,South
1061,17,Phone,3,583.94,2025-03-02,Ethan,1751.8200000000002,26,1,North
1062,46,Laptop,3,256.28,2025-03-03,Alice,768.8399999999999,27,3,South
1063,42,Phone,2,399.74,2025-03-04,Diana,799.48,98,3,North
1064,19,Monitor,1,498.04,2025-03-05,Bob,498.04,10,2,South
1065,16,Phone,1,893.03,2025-03-06,Ethan,893.03,92,1,West
1066,1,Phone,1,760.61,2025-03-07,Ethan,760.61,81,2,East
1067,5,Keyboard,1,1429.78,2025-03-08,Diana,1429.78,24,5,North
1068,26,Keyboard,3,1425.27,2025-03-09,Charlie,4275.8099999999995,46,4,West
1069,48,Monitor,2,241.98,2025-03-10,Charlie,483.96,36,2,East
1070,35,Laptop,4,169.29,2025-03-11,Charlie,677.16,42,5,West
1071,24,Monitor,4,1599.86,2025-03-12,Charlie,6399.44,11,1,South
1072,8,Laptop,2,1811.0,2025-03-13,Charlie,3622.0,58,1,South
1073,27,Monitor,1,108.86,2025-03-14,Alice,108.86,98,1,South
1074,26,Phone,3,601.99,2025-03-15,Charlie,1805.97,32,3,South
1075,41,Tablet,3,988.02,2025-03-16,Bob,2964.06,44,1,East
1076,23,Keyboard,2,783.65,2025-03-17,Charlie,1567.3,31,5,East
1077,10,Laptop,3,556.41,2025-03-18,Diana,1669.23,78,2,North
1078,4,Laptop,2,144.02,2025-03-19,Alice,288.04,77,5,North
1079,40,Monitor,3,1110.17,2025-03-20,Alice,3330.51,58,1,East
1080,24,Phone,2,347.37,2025-03-21,Bob,694.74,28,3,South
1081,37,Phone,3,1166.77,2025-03-22,Bob,3500.31,21,4,South
1082,28,Laptop,1,418.88,2025-03-23,Diana,418.88,21,3,North
1083,38,Laptop,1,900.04,2025-03-24,Diana,900.04,62,2,North
1084,20,Keyboard,3,1400.91,2025-03-25,Diana,4202.7300000000005,86,4,East
1085,39,Tablet,3,620.41,2025-03-26,Bob,1861.23,78,2,West
1086,9,Monitor,1,119.0,2025-03-27,Diana,119.0,55,2,West
1087,33,Keyboard,2,517.75,2025-03-28,Diana,1035.5,74,3,East
1088,35,Tablet,3,160.72,2025-03-29,Diana,482.15999999999997,99,1,West
1089,11,Laptop,1,1876.26,2025-03-30,Bob,1876.26,50,5,West
1090,24,Monitor,3,1585.97,2025-03-31,Diana,4757.91,17,5,South
1091,16,Monitor,4,1083.43,2025-04-01,Alice,4333.72,17,3,East
1092,48,Phone,1,131.28,2025-04-02,Ethan,131.28,43,3,North
1093,24,Tablet,4,667.72,2025-04-03,Alice,2670.88,68,5,North
1094,26,Keyboard,2,1127.37,2025-04-04,Charlie,2254.74,17,1,East
1095,8,Monitor,1,1733.78,2025-04-05,Ethan,1733.78,44,1,West
1096,29,Laptop,1,451.72,2025-04-06,Ethan,451.72,14,4,West
1097,11,Laptop,4,258.74,2025-04-07,Charlie,1034.96,15,5,East
1098,47,Keyboard,4,184.12,2025-04-08,Alice,736.48,71,5,South
1099,33,Tablet,3,943.24,2025-04-09,Diana,2829.7200000000003,60,4,North
1100,25,Keyboard,4,136.71,2025-04-10,Charlie,546.84,86,2,East
